fishid,diel_period,date,med.activ,mean.activ,sd.activ,tl_mm,weight_g,sex,lake,pit_id
T412067,night,2015-07-21,0.194262645289173,0.177268161369089,0.126867667833315,1145,8200,F,Most,900108001617798
T412067,day,2015-07-21,0.0130973775412493,0.0140044673002957,0.0112310363250551,1145,8200,F,Most,900108001617798
T412067,night,2015-07-22,0.136080657590141,0.169986371283266,0.131117314880194,1145,8200,F,Most,900108001617798
T412067,day,2015-07-22,0.10156546052966,0.101181479024338,0.050841744611161,1145,8200,F,Most,900108001617798
T412067,night,2015-07-23,0.294252623910811,0.269812975488595,0.0870561540085009,1145,8200,F,Most,900108001617798
T412067,day,2015-07-23,0.0780366365708015,0.0878031131406745,0.0468327015373345,1145,8200,F,Most,900108001617798
T412067,night,2015-07-24,0.180185962181287,0.181456580975589,0.100683016483606,1145,8200,F,Most,900108001617798
T412067,day,2015-07-24,0.12043746889615,0.134820412119686,0.100390585333542,1145,8200,F,Most,900108001617798
T412067,night,2015-07-25,0.213089973300981,0.157082254292862,0.119517555315909,1145,8200,F,Most,900108001617798
T412067,day,2015-07-25,0.00567698285304391,0.00389536734192103,0.00308584885869488,1145,8200,F,Most,900108001617798
T412067,night,2015-07-26,0.286370684435469,0.27785070129573,0.0890106772455287,1145,8200,F,Most,900108001617798
T412067,day,2015-07-26,0.23123867602487,0.221628340567465,0.0673706636395318,1145,8200,F,Most,900108001617798
T412067,night,2015-07-27,0.210601963524894,0.191732848148811,0.0990461498535155,1145,8200,F,Most,900108001617798
T412067,day,2015-07-27,0.299103129980937,0.299341729220057,0.000441230998906617,1145,8200,F,Most,900108001617798
T412067,night,2015-07-28,0.291675225626269,0.281526784480773,0.0863378808730195,1145,8200,F,Most,900108001617798
T412067,day,2015-07-28,0.20170541725644,0.206707368285085,0.0545122003919908,1145,8200,F,Most,900108001617798
T412067,night,2015-07-29,0.182747224863459,0.171551119620087,0.0595487469197602,1145,8200,F,Most,900108001617798
T412067,day,2015-07-29,0.014834637230316,0.014834637230316,,1145,8200,F,Most,900108001617798
T412067,night,2015-07-30,0.0026243856861658,0.00478375757686824,0.00387010974149903,1145,8200,F,Most,900108001617798
T412067,day,2015-07-30,0.00943830077787104,0.00665902020145071,0.00509488577323352,1145,8200,F,Most,900108001617798
T412067,night,2015-07-31,0.258058192043153,0.237220699777071,0.0776632347465777,1145,8200,F,Most,900108001617798
T412067,day,2015-07-31,0.0930082465339811,0.0829902515670911,0.023529906733107,1145,8200,F,Most,900108001617798
T412067,night,2015-08-01,0.245379148508268,0.219676639029745,0.0982110342022782,1145,8200,F,Most,900108001617798
T412067,night,2015-08-02,0.110030853177538,0.124650236890493,0.0864136354574296,1145,8200,F,Most,900108001617798
T412067,day,2015-08-02,0.172255097522582,0.174181973395923,0.0633207935496253,1145,8200,F,Most,900108001617798
T412067,night,2015-08-03,0.186270001239892,0.185255002599609,0.0957397147505312,1145,8200,F,Most,900108001617798
T412067,night,2015-08-04,0.244553083816566,0.242647173734418,0.0803646014102029,1145,8200,F,Most,900108001617798
T412067,night,2015-08-05,0.134266136890157,0.154442990652066,0.0884023133736169,1145,8200,F,Most,900108001617798
T412067,day,2015-08-05,0.0127889692423759,0.0335566542531878,0.0452042931378401,1145,8200,F,Most,900108001617798
T412067,night,2015-08-06,0.0532353532468282,0.0510346239406333,0.0371252547151705,1145,8200,F,Most,900108001617798
T412067,night,2015-08-07,0.224986089039715,0.227120304019418,0.0622773280515184,1145,8200,F,Most,900108001617798
T412067,night,2015-08-08,,,,1145,8200,F,Most,900108001617798
T412067,night,2015-08-09,0.269564667013118,0.240798761677328,0.0832354744496634,1145,8200,F,Most,900108001617798
T412067,night,2015-08-10,0.284254492974871,0.255572584782724,0.112939938863242,1145,8200,F,Most,900108001617798
T412067,night,2015-08-11,0.0950322276399181,0.1091542494447,0.108609320327562,1145,8200,F,Most,900108001617798
T412067,night,2015-08-12,0.158380614787441,0.180937438661177,0.117926374309844,1145,8200,F,Most,900108001617798
T412067,day,2015-08-12,0.00291508930381765,0.00291508930381765,2.22747577029313e-05,1145,8200,F,Most,900108001617798
T412067,night,2015-08-13,0.242798112727206,0.222001769270318,0.121251581187573,1145,8200,F,Most,900108001617798
T412067,day,2015-08-13,0.145728242360279,0.149154207298075,0.083410683140762,1145,8200,F,Most,900108001617798
T412067,night,2015-08-14,0.135088027626127,0.160513126136324,0.106210027828444,1145,8200,F,Most,900108001617798
T412067,day,2015-08-14,0.0425739300101262,0.0801736021392303,0.0974607878162041,1145,8200,F,Most,900108001617798
T412067,night,2015-08-15,0.341023809830868,0.285575458039932,0.144486599120575,1145,8200,F,Most,900108001617798
T412067,day,2015-08-15,0.210038352807321,0.182897448980317,0.0865293649951754,1145,8200,F,Most,900108001617798
T412067,night,2015-08-16,0.226533623234892,0.207597891519357,0.0919934184638098,1145,8200,F,Most,900108001617798
T412067,day,2015-08-16,0.239481860988656,0.220002060047833,0.0888695628228043,1145,8200,F,Most,900108001617798
T412067,night,2015-08-17,0.0756110536366926,0.126718048122042,0.110888820626705,1145,8200,F,Most,900108001617798
T412067,day,2015-08-17,0.0288448268488573,0.0309182172084528,0.022785138144838,1145,8200,F,Most,900108001617798
T412067,night,2015-08-18,0.0794646994974686,0.0899154668524833,0.0603724542199712,1145,8200,F,Most,900108001617798
T412067,night,2015-08-19,0.0271922393984389,0.0306484273425311,0.0160979105149122,1145,8200,F,Most,900108001617798
T412067,day,2015-08-19,0.00679903106828004,0.00832391710820386,0.00411311146969851,1145,8200,F,Most,900108001617798
T412067,night,2015-08-20,0.017909330010707,0.0186093007980364,0.0121947181027876,1145,8200,F,Most,900108001617798
T412067,day,2015-08-20,0.0175679804433401,0.0162925875511027,0.00445889309863621,1145,8200,F,Most,900108001617798
T412067,night,2015-08-21,0.00466119476980653,0.00631461908623894,0.00859553523220144,1145,8200,F,Most,900108001617798
T412067,day,2015-08-21,0.00497596419121532,0.00418656620288614,0.00174423063258032,1145,8200,F,Most,900108001617798
T412067,night,2015-08-22,0.156023306618407,0.135996304681768,0.0791099013762175,1145,8200,F,Most,900108001617798
T412067,day,2015-08-22,0.0263211968031132,0.0255573113705548,0.011734456615658,1145,8200,F,Most,900108001617798
T412067,night,2015-08-23,0.159914487371664,0.144544730508654,0.0839562868958933,1145,8200,F,Most,900108001617798
T412067,day,2015-08-23,0.0260595744217634,0.0824979601569855,0.0993127972597518,1145,8200,F,Most,900108001617798
T412067,night,2015-08-24,0.0395150867776151,0.0540408636261145,0.0387865308986787,1145,8200,F,Most,900108001617798
T412067,day,2015-08-24,0.094899596736678,0.108669293576517,0.0812025508831523,1145,8200,F,Most,900108001617798
T412067,night,2015-08-25,0.0442098402182788,0.0589325197138259,0.0473870319778252,1145,8200,F,Most,900108001617798
T412067,day,2015-08-25,0.197537493474016,0.144749904808071,0.0926046244028027,1145,8200,F,Most,900108001617798
T412067,night,2015-08-26,0.229454834528445,0.193084037563878,0.0933871993124553,1145,8200,F,Most,900108001617798
T412067,day,2015-08-26,0.106993745122513,0.148512436579434,0.12848574515609,1145,8200,F,Most,900108001617798
T412067,night,2015-08-27,0.189451210250713,0.162382638834096,0.0884179222935985,1145,8200,F,Most,900108001617798
T412067,day,2015-08-27,0.102602616435433,0.10652625762481,0.066092117074283,1145,8200,F,Most,900108001617798
T412067,night,2015-08-28,0.132248149982366,0.143023120602394,0.102415047968299,1145,8200,F,Most,900108001617798
T412067,day,2015-08-28,0.123472994838361,0.111732539599753,0.0652219078407685,1145,8200,F,Most,900108001617798
T412067,night,2015-08-29,0.165642464807429,0.151023592951576,0.0777062253350618,1145,8200,F,Most,900108001617798
T412067,day,2015-08-29,,,,1145,8200,F,Most,900108001617798
