fishid,ka,date,diel_period,tl_mm,weight_g,lake,sex
T412070,6.62,3000-06-19,day,760,3160,Most,M
T412070,10.17,3000-06-19,night,760,3160,Most,M
T412070,4.95,3000-06-20,day,760,3160,Most,M
T412070,10.27,3000-06-20,night,760,3160,Most,M
T412070,3.47,3000-06-21,day,760,3160,Most,M
T412070,10.67,3000-06-21,night,760,3160,Most,M
T412070,3.16,3000-06-22,day,760,3160,Most,M
T412070,9.28,3000-06-22,night,760,3160,Most,M
T412070,8.76,3000-06-23,day,760,3160,Most,M
T412070,11.81,3000-06-23,night,760,3160,Most,M
T412070,2.14,3000-06-24,day,760,3160,Most,M
T412070,13.59,3000-06-24,night,760,3160,Most,M
T412070,10.23,3000-06-25,day,760,3160,Most,M
T412070,7.22,3000-06-25,night,760,3160,Most,M
T412070,12.24,3000-06-26,day,760,3160,Most,M
T412070,7.93,3000-06-26,night,760,3160,Most,M
T412070,18.79,3000-06-27,day,760,3160,Most,M
T412070,12.72,3000-06-27,night,760,3160,Most,M
T412070,9.42,3000-06-28,day,760,3160,Most,M
T412070,22.14,3000-06-28,night,760,3160,Most,M
T412070,6.64,3000-06-29,day,760,3160,Most,M
T412070,10.66,3000-06-29,night,760,3160,Most,M
T412070,7.07,3000-06-30,day,760,3160,Most,M
T412070,13.46,3000-06-30,night,760,3160,Most,M
T412070,6.78,3000-07-01,night,760,3160,Most,M
T412070,6.03,3000-07-02,day,760,3160,Most,M
T412070,8.8,3000-07-02,night,760,3160,Most,M
T412070,5.19,3000-07-03,day,760,3160,Most,M
T412070,3.2,3000-07-03,night,760,3160,Most,M
T412070,6.64,3000-07-06,day,760,3160,Most,M
T412070,36.32,3000-07-06,night,760,3160,Most,M
T412070,3.45,3000-07-07,day,760,3160,Most,M
T412070,30.4,3000-07-07,night,760,3160,Most,M
T412070,6.53,3000-07-08,day,760,3160,Most,M
T412070,19.78,3000-07-08,night,760,3160,Most,M
T412070,18.53,3000-07-09,day,760,3160,Most,M
T412070,31.6,3000-07-09,night,760,3160,Most,M
T412070,16.87,3000-07-10,day,760,3160,Most,M
T412070,32.51,3000-07-10,night,760,3160,Most,M
T412070,18.94,3000-07-11,day,760,3160,Most,M
T412070,17.5,3000-07-11,night,760,3160,Most,M
T412070,17.99,3000-07-12,day,760,3160,Most,M
T412070,25.21,3000-07-12,night,760,3160,Most,M
T412070,12.89,3000-07-13,day,760,3160,Most,M
T412070,11.36,3000-07-13,night,760,3160,Most,M
T412070,18.33,3000-07-14,day,760,3160,Most,M
T412070,16.26,3000-07-14,night,760,3160,Most,M
T412070,9.85,3000-07-15,day,760,3160,Most,M
T412070,23.36,3000-07-15,night,760,3160,Most,M
T412070,5.37,3000-07-16,day,760,3160,Most,M
T412070,10.49,3000-07-16,night,760,3160,Most,M
T412070,13.93,3000-07-17,day,760,3160,Most,M
T412070,7.7,3000-07-17,night,760,3160,Most,M
T412070,8.03,3000-07-18,day,760,3160,Most,M
T412070,23.11,3000-07-18,night,760,3160,Most,M
T412070,15.23,3000-07-19,day,760,3160,Most,M
T412070,22.69,3000-07-19,night,760,3160,Most,M
T412070,10.29,3000-07-20,day,760,3160,Most,M
T412070,23.65,3000-07-20,night,760,3160,Most,M
T412070,13.17,3000-07-21,day,760,3160,Most,M
T412070,20.77,3000-07-21,night,760,3160,Most,M
T412070,5.95,3000-07-22,day,760,3160,Most,M
T412070,33.81,3000-07-22,night,760,3160,Most,M
T412070,3.53,3000-07-23,day,760,3160,Most,M
T412070,19.76,3000-07-23,night,760,3160,Most,M
T412070,5.95,3000-07-24,day,760,3160,Most,M
T412070,27.09,3000-07-24,night,760,3160,Most,M
T412070,8.74,3000-07-25,day,760,3160,Most,M
T412070,30.38,3000-07-25,night,760,3160,Most,M
T412070,3.26,3000-07-26,day,760,3160,Most,M
T412070,23.99,3000-07-26,night,760,3160,Most,M
