fishid,pr_pel_mean,date,diel_period,tl_mm,weight_g,lake,sex
T412067,0.25,3000-10-11,day,1145,8200,Most,F
T412067,0.712765957446809,3000-10-11,night,1145,8200,Most,F
T412067,0.25,3000-10-13,night,1145,8200,Most,F
T412067,0.0172910662824208,3000-10-15,night,1145,8200,Most,F
T412067,0.00162074554294976,3000-10-16,night,1145,8200,Most,F
T412067,0.64,3000-10-20,night,1145,8200,Most,F
T412067,0.031496062992126,3000-10-30,night,1145,8200,Most,F
T412067,0.0517241379310345,3000-10-31,night,1145,8200,Most,F
T412067,0.214659685863874,3000-11-05,night,1145,8200,Most,F
T412067,0.0746666666666667,3000-11-07,night,1145,8200,Most,F
T412067,0.331550802139037,3000-11-08,day,1145,8200,Most,F
T412067,0.0404411764705882,3000-11-08,night,1145,8200,Most,F
T412067,0.013355592654424,3000-11-09,night,1145,8200,Most,F
T412067,0.0344827586206897,3000-11-09,day,1145,8200,Most,F
T412067,0.0140845070422535,3000-11-10,night,1145,8200,Most,F
T412067,0.0375,3000-11-10,day,1145,8200,Most,F
T412067,0.6,3000-11-11,night,1145,8200,Most,F
T412067,0.0288659793814433,3000-11-12,night,1145,8200,Most,F
T412067,0.0397727272727273,3000-11-13,night,1145,8200,Most,F
T412067,0.00389105058365759,3000-11-14,night,1145,8200,Most,F
T412067,0.00304878048780488,3000-11-14,day,1145,8200,Most,F
T412067,0.0204778156996587,3000-11-15,night,1145,8200,Most,F
T412067,0.0731707317073171,3000-11-15,day,1145,8200,Most,F
T412067,0.027431421446384,3000-11-16,night,1145,8200,Most,F
T412067,0.127962085308057,3000-11-16,day,1145,8200,Most,F
T412067,0.0218978102189781,3000-11-17,night,1145,8200,Most,F
T412067,0.00573065902578797,3000-11-17,day,1145,8200,Most,F
T412067,0.033112582781457,3000-11-18,night,1145,8200,Most,F
T412067,0.0459081836327345,3000-11-18,day,1145,8200,Most,F
T412067,0.0134529147982063,3000-11-19,night,1145,8200,Most,F
T412067,0.00366300366300366,3000-11-20,night,1145,8200,Most,F
T412070,0.911904761904762,3000-06-01,night,760,3160,Most,M
T412070,0.079484425349087,3000-06-01,day,760,3160,Most,M
T412070,0.551724137931035,3000-06-02,night,760,3160,Most,M
T412070,0.0576368876080692,3000-06-02,day,760,3160,Most,M
T412070,0.938189845474614,3000-06-03,night,760,3160,Most,M
T412070,0.25686591276252,3000-06-03,day,760,3160,Most,M
T412070,0.105263157894737,3000-06-04,day,760,3160,Most,M
T412070,0.794871794871795,3000-06-04,night,760,3160,Most,M
T412070,0.402298850574713,3000-06-05,night,760,3160,Most,M
T412070,0.195238095238095,3000-06-05,day,760,3160,Most,M
T412070,1,3000-06-06,night,760,3160,Most,M
T412070,1,3000-06-06,day,760,3160,Most,M
T412070,0.257352941176471,3000-06-07,day,760,3160,Most,M
T412070,0.952941176470588,3000-06-07,night,760,3160,Most,M
T412070,0.375886524822695,3000-06-08,night,760,3160,Most,M
T412070,0.535641547861507,3000-06-08,day,760,3160,Most,M
T412070,0.812260536398467,3000-06-09,night,760,3160,Most,M
T412070,0.445964432284542,3000-06-09,day,760,3160,Most,M
T412070,0.980716253443526,3000-06-10,night,760,3160,Most,M
T412070,0.186094069529652,3000-06-10,day,760,3160,Most,M
T412070,0.675862068965517,3000-06-11,night,760,3160,Most,M
T412070,0.008,3000-06-11,day,760,3160,Most,M
T412070,0.00393700787401575,3000-06-12,day,760,3160,Most,M
T412070,0.516908212560387,3000-06-13,day,760,3160,Most,M
T412070,0.827272727272727,3000-06-14,night,760,3160,Most,M
T412070,0.00279329608938548,3000-06-14,day,760,3160,Most,M
T412070,0.961206896551724,3000-06-15,night,760,3160,Most,M
T412070,0.085195530726257,3000-06-15,day,760,3160,Most,M
T412070,0.932330827067669,3000-06-16,night,760,3160,Most,M
T412070,0.0574052812858783,3000-06-16,day,760,3160,Most,M
T412070,0.855791962174941,3000-06-17,night,760,3160,Most,M
T412070,0.137546468401487,3000-06-17,day,760,3160,Most,M
T412070,0.966367713004484,3000-06-18,night,760,3160,Most,M
T412070,1,3000-06-18,day,760,3160,Most,M
T412070,0.839835728952772,3000-06-19,night,760,3160,Most,M
T412070,0.0371024734982332,3000-06-19,day,760,3160,Most,M
T412070,0.840686274509804,3000-06-20,night,760,3160,Most,M
T412070,0.309230769230769,3000-06-20,day,760,3160,Most,M
T412070,0.48582995951417,3000-06-21,night,760,3160,Most,M
T412070,0.0904925544100802,3000-06-21,day,760,3160,Most,M
T412070,0.00239234449760766,3000-06-22,day,760,3160,Most,M
T412070,0.627450980392157,3000-06-22,night,760,3160,Most,M
T412070,0.514423076923077,3000-06-23,night,760,3160,Most,M
T412070,0.669444444444444,3000-06-23,day,760,3160,Most,M
T412070,0.573913043478261,3000-06-24,night,760,3160,Most,M
T412070,1,3000-06-25,night,760,3160,Most,M
T412070,0.16044776119403,3000-06-25,day,760,3160,Most,M
T412070,1,3000-06-26,night,760,3160,Most,M
T412070,0.427835051546392,3000-06-26,day,760,3160,Most,M
T412070,0.990147783251231,3000-06-27,night,760,3160,Most,M
T412070,0.82,3000-06-27,day,760,3160,Most,M
T412070,0.897911832946636,3000-06-28,night,760,3160,Most,M
T412070,0.750980392156863,3000-06-28,day,760,3160,Most,M
T412070,0.990566037735849,3000-06-29,night,760,3160,Most,M
T412070,1,3000-06-29,day,760,3160,Most,M
T412070,0.118852459016393,3000-06-30,day,760,3160,Most,M
T412070,0.540983606557377,3000-06-30,night,760,3160,Most,M
T412070,1,3000-07-01,night,760,3160,Most,M
T412070,1,3000-07-01,day,760,3160,Most,M
T412070,1,3000-07-02,night,760,3160,Most,M
T412070,0.470588235294118,3000-07-02,day,760,3160,Most,M
T412070,1,3000-07-03,night,760,3160,Most,M
T412070,1,3000-07-03,day,760,3160,Most,M
T412070,1,3000-07-04,night,760,3160,Most,M
T412070,1,3000-07-05,day,760,3160,Most,M
T412070,1,3000-07-05,night,760,3160,Most,M
T412070,0.947368421052632,3000-07-06,night,760,3160,Most,M
T412070,0.62962962962963,3000-07-06,day,760,3160,Most,M
T412070,0.977142857142857,3000-07-07,night,760,3160,Most,M
T412070,0.75,3000-07-07,day,760,3160,Most,M
T412070,0.868501529051988,3000-07-08,night,760,3160,Most,M
T412070,0.363636363636364,3000-07-08,day,760,3160,Most,M
T412070,0.87799043062201,3000-07-09,night,760,3160,Most,M
T412070,0.591836734693878,3000-07-09,day,760,3160,Most,M
T412070,0.903225806451613,3000-07-10,night,760,3160,Most,M
T412070,0.522388059701493,3000-07-10,day,760,3160,Most,M
T412070,1,3000-07-11,night,760,3160,Most,M
T412070,0.821596244131455,3000-07-11,day,760,3160,Most,M
T412070,1,3000-07-12,night,760,3160,Most,M
T412070,0.557496360989811,3000-07-12,day,760,3160,Most,M
T412070,1,3000-07-13,night,760,3160,Most,M
T412070,0.910112359550562,3000-07-13,day,760,3160,Most,M
T412070,1,3000-07-14,night,760,3160,Most,M
T412070,0.86013986013986,3000-07-14,day,760,3160,Most,M
T412070,0.93298969072165,3000-07-15,night,760,3160,Most,M
T412070,0.282722513089005,3000-07-15,day,760,3160,Most,M
T412070,1,3000-07-16,night,760,3160,Most,M
T412070,0.016,3000-07-16,day,760,3160,Most,M
T412070,1,3000-07-17,night,760,3160,Most,M
T412070,0.7875,3000-07-17,day,760,3160,Most,M
T412070,0.996466431095406,3000-07-18,night,760,3160,Most,M
T412070,0.536585365853659,3000-07-18,day,760,3160,Most,M
T412070,0.988662131519274,3000-07-19,night,760,3160,Most,M
T412070,0.861842105263158,3000-07-19,day,760,3160,Most,M
T412070,0.995867768595041,3000-07-20,night,760,3160,Most,M
T412070,0.343283582089552,3000-07-20,day,760,3160,Most,M
T412070,1,3000-07-21,night,760,3160,Most,M
T412070,0.56043956043956,3000-07-21,day,760,3160,Most,M
T412070,0.954166666666667,3000-07-22,night,760,3160,Most,M
T412070,0.695652173913044,3000-07-22,day,760,3160,Most,M
T412070,0.992592592592593,3000-07-23,night,760,3160,Most,M
T412070,0.0477272727272727,3000-07-23,day,760,3160,Most,M
T412070,0.91897233201581,3000-07-24,night,760,3160,Most,M
T412070,0.751515151515152,3000-07-24,day,760,3160,Most,M
T412070,0.962171052631579,3000-07-25,night,760,3160,Most,M
T412070,0.793548387096774,3000-07-25,day,760,3160,Most,M
T412070,0.938735177865613,3000-07-26,night,760,3160,Most,M
T412070,0.258823529411765,3000-07-26,day,760,3160,Most,M
T412070,0.95609756097561,3000-07-27,night,760,3160,Most,M
T412070,0.1875,3000-07-27,day,760,3160,Most,M
T412070,0.949275362318841,3000-07-28,night,760,3160,Most,M
T412070,0.181818181818182,3000-07-28,day,760,3160,Most,M
T412070,0.975308641975309,3000-07-29,night,760,3160,Most,M
T412070,0.133333333333333,3000-07-29,day,760,3160,Most,M
T412070,0.913461538461539,3000-07-30,night,760,3160,Most,M
T412070,0.162162162162162,3000-07-30,day,760,3160,Most,M
T412070,0.988888888888889,3000-07-31,night,760,3160,Most,M
T412070,0.0135135135135135,3000-07-31,day,760,3160,Most,M
T412070,0.972103004291846,3000-08-01,night,760,3160,Most,M
T412070,0.173913043478261,3000-08-01,day,760,3160,Most,M
T412070,0.88141592920354,3000-08-02,night,760,3160,Most,M
T412070,0.303225806451613,3000-08-02,day,760,3160,Most,M
T412070,0.754545454545455,3000-08-03,night,760,3160,Most,M
T412070,0.626582278481013,3000-08-03,day,760,3160,Most,M
T412070,0.929971988795518,3000-08-04,night,760,3160,Most,M
T412070,0.0154639175257732,3000-08-04,day,760,3160,Most,M
T412070,0.919439579684764,3000-08-05,night,760,3160,Most,M
T412070,0.6,3000-08-05,day,760,3160,Most,M
T412070,0.906882591093117,3000-08-06,night,760,3160,Most,M
T412070,0.0666666666666667,3000-08-06,day,760,3160,Most,M
T412070,0.291338582677165,3000-08-07,night,760,3160,Most,M
T412070,0.661870503597122,3000-08-08,night,760,3160,Most,M
T412070,0.621848739495798,3000-08-09,night,760,3160,Most,M
T412070,0.18407960199005,3000-08-09,day,760,3160,Most,M
T412070,0.455056179775281,3000-08-10,night,760,3160,Most,M
T412070,0.12280701754386,3000-08-10,day,760,3160,Most,M
T412070,0.835106382978723,3000-08-11,night,760,3160,Most,M
T412070,0.166666666666667,3000-08-11,day,760,3160,Most,M
T412070,0.786259541984733,3000-08-12,night,760,3160,Most,M
T412070,0.0125786163522013,3000-08-12,day,760,3160,Most,M
T412070,0.880893300248139,3000-08-13,night,760,3160,Most,M
T412070,0.32258064516129,3000-08-13,day,760,3160,Most,M
T412070,0.965034965034965,3000-08-14,night,760,3160,Most,M
T412070,0.330357142857143,3000-08-14,day,760,3160,Most,M
T412070,0.948542024013722,3000-08-15,night,760,3160,Most,M
T412070,0.863945578231293,3000-08-15,day,760,3160,Most,M
T412070,0.899817850637523,3000-08-16,night,760,3160,Most,M
T412070,0.0185185185185185,3000-08-16,day,760,3160,Most,M
T412070,0.368141592920354,3000-08-17,night,760,3160,Most,M
T412070,0.16304347826087,3000-08-19,night,760,3160,Most,M
T412070,0.956521739130435,3000-08-20,night,760,3160,Most,M
T412070,0.0821917808219178,3000-08-20,day,760,3160,Most,M
T412070,0.906976744186047,3000-08-21,night,760,3160,Most,M
T412070,0.706666666666667,3000-08-21,day,760,3160,Most,M
T412070,0.916142557651992,3000-08-22,night,760,3160,Most,M
T412070,0.802547770700637,3000-08-22,day,760,3160,Most,M
T412070,0.818181818181818,3000-08-23,night,760,3160,Most,M
T412070,0.822727272727273,3000-08-24,night,760,3160,Most,M
T412070,0.885057471264368,3000-08-25,night,760,3160,Most,M
T412070,0.0309278350515464,3000-08-25,day,760,3160,Most,M
T412070,0.861764705882353,3000-08-26,night,760,3160,Most,M
T412070,0.974658869395711,3000-08-27,night,760,3160,Most,M
T412070,0.0275862068965517,3000-08-27,day,760,3160,Most,M
T412070,0.927586206896552,3000-08-28,night,760,3160,Most,M
T412070,0.03125,3000-08-28,day,760,3160,Most,M
T412070,0.841121495327103,3000-08-29,night,760,3160,Most,M
T412070,0.747404844290657,3000-08-30,night,760,3160,Most,M
T412070,0.113333333333333,3000-08-30,day,760,3160,Most,M
T412070,1,3000-08-31,night,760,3160,Most,M
T412070,0.807439824945296,3000-09-01,night,760,3160,Most,M
T412070,0.745674740484429,3000-09-02,night,760,3160,Most,M
T412070,0.807511737089202,3000-09-03,night,760,3160,Most,M
T412070,0.526785714285714,3000-09-04,night,760,3160,Most,M
T412070,0.0303030303030303,3000-09-04,day,760,3160,Most,M
T412070,0.726190476190476,3000-09-05,night,760,3160,Most,M
T412070,0.734848484848485,3000-09-06,night,760,3160,Most,M
T412070,0.752212389380531,3000-09-07,night,760,3160,Most,M
T412070,0.847457627118644,3000-09-08,night,760,3160,Most,M
T412070,0.165217391304348,3000-09-09,night,760,3160,Most,M
T412070,0.252873563218391,3000-09-10,night,760,3160,Most,M
T412070,0.58,3000-09-11,night,760,3160,Most,M
T412070,0.847352024922118,3000-09-12,night,760,3160,Most,M
T412070,0.470588235294118,3000-09-12,day,760,3160,Most,M
T412070,0.92962962962963,3000-09-13,night,760,3160,Most,M
T412070,0.708121827411167,3000-09-14,night,760,3160,Most,M
T412070,0.0758426966292135,3000-09-14,day,760,3160,Most,M
T412070,0.695652173913044,3000-09-15,night,760,3160,Most,M
T412070,0.184210526315789,3000-09-15,day,760,3160,Most,M
T412070,0.845614035087719,3000-09-16,night,760,3160,Most,M
T412070,0.491094147582697,3000-09-16,day,760,3160,Most,M
T412070,0.706744868035191,3000-09-17,night,760,3160,Most,M
T412070,0.0785123966942149,3000-09-17,day,760,3160,Most,M
T412070,0.758542141230068,3000-09-18,night,760,3160,Most,M
T412070,0.279693486590038,3000-09-18,day,760,3160,Most,M
T412070,0.679933665008292,3000-09-19,night,760,3160,Most,M
T412070,0.138228941684665,3000-09-19,day,760,3160,Most,M
T412070,0.821192052980132,3000-09-20,night,760,3160,Most,M
T412070,0.0833333333333333,3000-09-20,day,760,3160,Most,M
T412070,0.537313432835821,3000-09-21,night,760,3160,Most,M
T412070,0.0175438596491228,3000-09-21,day,760,3160,Most,M
T412070,0.610108303249097,3000-09-22,night,760,3160,Most,M
T412070,0.0154525386313466,3000-09-22,day,760,3160,Most,M
T412070,0.326923076923077,3000-09-23,night,760,3160,Most,M
T412070,0.0338983050847458,3000-09-23,day,760,3160,Most,M
T412070,0.903225806451613,3000-09-24,night,760,3160,Most,M
T412070,0.0546697038724374,3000-09-24,day,760,3160,Most,M
T412070,0.700819672131147,3000-09-25,night,760,3160,Most,M
T412070,0.723404255319149,3000-09-26,night,760,3160,Most,M
T412070,0.111111111111111,3000-09-26,day,760,3160,Most,M
T412070,0.38,3000-09-27,night,760,3160,Most,M
T412070,0.466666666666667,3000-09-28,night,760,3160,Most,M
T412070,0.754901960784314,3000-09-30,night,760,3160,Most,M
T412070,0.333333333333333,3000-10-01,day,760,3160,Most,M
T412070,0.317307692307692,3000-10-01,night,760,3160,Most,M
T412070,0.558659217877095,3000-10-02,night,760,3160,Most,M
T412070,0.625,3000-10-03,night,760,3160,Most,M
T412070,0.96401028277635,3000-10-04,night,760,3160,Most,M
T412070,0.841530054644809,3000-10-05,night,760,3160,Most,M
T412070,0.892430278884462,3000-10-06,night,760,3160,Most,M
T412070,0.0833333333333333,3000-10-06,day,760,3160,Most,M
